Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anna Di Carlo,Peter Fonseca,Wladyslaw Lizon,Maha Rasheed,Syed Rizvi,Tom Takacs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 114","Mississauga",2,74,65,3,2,15,0,161,286
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 115","Mississauga",0,111,54,4,1,19,2,191,401
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 116","Mississauga",1,145,101,10,6,17,2,282,573
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 117","Mississauga",0,119,62,3,2,26,0,212,475
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 118","Mississauga",2,149,86,8,8,28,1,282,650
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 119","Mississauga",2,153,70,7,6,31,3,272,567
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 120","Mississauga",0,150,49,2,4,28,0,233,560
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 121","Mississauga",1,110,48,8,1,20,0,188,383
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 122","Mississauga",0,107,73,2,4,15,1,202,372
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 123","Mississauga",1,108,61,6,5,22,3,206,443
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 124","Mississauga",0,90,79,5,1,17,3,195,369
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 125","Mississauga",0,112,98,7,7,17,1,242,400
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 126","Mississauga",1,117,95,12,8,25,1,259,431
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 127","Mississauga",0,76,60,8,0,11,2,157,351
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 128","Mississauga",1,76,60,6,2,15,1,161,383
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 129","Mississauga",3,74,66,5,2,25,0,175,406
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 130","Mississauga",0,89,51,8,6,26,0,180,422
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 131","Mississauga",1,118,63,11,3,21,1,218,520
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 132","Mississauga",2,132,57,7,8,20,5,231,558
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 133","Mississauga",1,80,34,3,2,16,0,136,345
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 134","Mississauga",0,79,36,3,1,16,2,137,418
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 135","Mississauga",1,96,17,5,2,13,0,134,381
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 136","Mississauga",0,96,53,6,2,12,0,169,349
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 137","Mississauga",1,87,46,3,1,13,1,152,369
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 138","Mississauga",0,100,39,2,1,11,1,154,385
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 139","Mississauga",0,95,77,1,4,12,1,190,471
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 140","Mississauga",0,83,45,2,1,7,2,140,304
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 141","Mississauga",0,106,31,3,3,12,4,159,449
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 142","Mississauga",1,119,62,7,4,22,0,215,565
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 143","Mississauga",0,147,81,10,0,25,4,267,557
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 144","Mississauga",0,124,69,2,0,11,3,209,528
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 145","Mississauga",1,106,79,4,1,26,0,217,508
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 146","Mississauga",3,150,48,4,3,22,1,231,484
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 147","Mississauga",0,55,49,3,1,8,3,119,355
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 148","Mississauga",0,60,54,6,2,16,2,140,448
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 149","Mississauga",0,105,54,2,0,15,1,177,467
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 150","Mississauga",0,101,42,5,1,16,1,166,399
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 151","Mississauga",0,88,61,4,3,18,1,175,399
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 152","Mississauga",1,100,70,3,1,15,4,194,437
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 153","Mississauga",0,64,50,4,1,9,0,128,368
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 154","Mississauga",0,98,58,12,4,22,0,194,369
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 155","Mississauga",1,85,91,7,0,12,0,196,439
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 156","Mississauga",0,127,77,6,2,25,4,241,469
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 157","Mississauga",0,65,76,2,2,15,1,161,364
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 158","Mississauga",0,103,80,4,1,22,1,211,380
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 159","Mississauga",1,175,69,5,1,18,5,274,469
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 160","Mississauga",0,132,39,5,1,11,3,191,435
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 161","Mississauga",0,139,111,11,5,18,2,286,666
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 162","Mississauga",0,99,36,4,2,27,0,168,437
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 163","Mississauga",2,133,58,3,5,18,2,221,440
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 164","Mississauga",0,114,35,4,2,13,2,170,344
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 165","Mississauga",1,126,90,9,1,18,0,245,451
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 166","Mississauga",1,68,43,4,1,21,0,138,378
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 167","Mississauga",1,124,102,4,5,33,0,269,559
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 168","Mississauga",0,134,48,6,0,42,0,230,465
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 169","Mississauga",2,128,82,2,5,17,0,236,428
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 170","Mississauga",1,122,68,4,1,20,2,218,435
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 171","Mississauga",1,113,76,7,4,15,4,220,423
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 172","Mississauga",2,93,75,2,1,20,2,195,363
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 173","Mississauga",0,89,66,3,3,15,2,178,395
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 174","Mississauga",0,123,66,1,0,20,2,212,346
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 175","Mississauga",0,110,104,2,0,16,1,233,407
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 176","Mississauga",0,124,46,9,2,21,1,203,373
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 177","Mississauga",0,117,77,2,1,5,0,202,366
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 178","Mississauga",0,115,49,5,0,11,0,180,344
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 400","Mississauga",0,66,32,11,2,31,0,142,218
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 401","Mississauga",0,120,34,7,2,21,7,191,299
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 402","Mississauga",0,81,52,6,1,4,1,145,173
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 403","Mississauga",Merged with No./Fusionné avec le n°402,,,,,,,,144
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 404","Mississauga",2,94,24,1,1,13,1,136,239
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 405","Mississauga",0,84,16,2,0,6,0,108,241
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 406","Mississauga",0,249,136,17,6,45,4,457,667
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 407","Mississauga",0,167,96,8,1,12,5,289,432
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 408","Mississauga",2,71,53,3,2,9,4,144,207
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 409","Mississauga",0,88,63,7,1,21,9,189,366
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 410","Mississauga",1,129,51,5,3,19,8,216,380
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 411","Mississauga",2,140,49,11,1,30,2,235,565
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 412","Mississauga",2,25,21,3,0,8,0,59,167
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 413","Mississauga",0,80,92,9,1,17,0,199,336
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 414","Mississauga",2,162,45,2,1,25,2,239,481
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 415","Mississauga",2,85,67,9,2,11,0,176,306
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 416","Mississauga",1,158,47,4,2,26,3,241,482
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 417","Mississauga",1,170,45,10,1,21,2,250,549
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 418","Mississauga",3,136,74,14,6,26,1,260,483
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville"," 419","Mississauga",0,56,37,2,3,2,1,101,178
