Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bernard Barré,Jean-François Bélanger,Sabrina Huet-Côté,Brigitte Sansoucy,Simon-Pierre Savard-Tremblay,René Vincelette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 188","Sainte-Madeleine",19,5,8,21,62,35,1,151,275
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 189","Sainte-Marie-Madeleine",22,2,6,31,105,56,8,230,394
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 190","Sainte-Marie-Madeleine",7,2,4,18,74,30,3,138,306
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 191","Sainte-Madeleine",19,0,7,30,74,14,5,149,302
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 192","Sainte-Madeleine",10,1,8,20,79,34,1,153,280
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 193","Sainte-Madeleine",20,2,10,33,74,37,1,177,326
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 194","Sainte-Marie-Madeleine",14,0,6,28,92,33,5,178,307
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 195","Sainte-Marie-Madeleine",21,0,8,16,90,42,1,178,361
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 196","Sainte-Marie-Madeleine",17,2,10,16,78,29,3,155,329
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 197","Sainte-Marie-Madeleine",22,3,8,20,93,22,4,172,318
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 198","Saint-Pie",35,2,8,43,109,32,8,237,440
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 199","Saint-Pie",30,1,12,31,110,61,9,254,431
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 200","Saint-Pie",29,5,14,33,89,44,5,219,398
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 201","Saint-Pie",31,3,11,33,88,53,11,230,445
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 202","Saint-Pie",31,0,9,37,123,52,10,262,526
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 203","Saint-Pie",25,7,13,27,91,40,5,208,405
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 204","Saint-Pie",20,1,10,25,82,28,4,170,397
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 205","Saint-Pie",46,2,12,21,89,33,1,204,436
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 206","Saint-Pie",35,3,9,36,110,59,5,257,446
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 207","Saint-Pie",33,1,8,35,105,51,2,235,428
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 208","Saint-Damase",19,2,6,28,79,41,6,181,317
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 209","Saint-Damase",21,0,4,18,54,40,7,144,248
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 210","Saint-Damase",40,0,2,30,80,43,2,197,381
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 211","Saint-Damase",18,0,5,27,50,28,2,130,263
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 212","Saint-Damase",35,2,5,30,103,27,5,207,336
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 213","Saint-Damase",38,0,6,23,100,50,11,228,368
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 400","Saint-Hyacinthe",28,0,0,14,13,50,18,123,162
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 401","Saint-Hyacinthe",21,2,2,11,21,33,9,99,392
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 500","Mobile poll/Bureau itinérant",14,1,2,14,27,23,6,87,144
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 501","Mobile poll/Bureau itinérant",25,4,1,7,15,20,4,76,155
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 502A","Mobile poll/Bureau itinérant",5,0,1,11,14,17,1,49,67
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,,4
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 503","Mobile poll/Bureau itinérant",8,0,2,18,28,17,7,80,160
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 504","Mobile poll/Bureau itinérant",26,1,1,14,8,24,9,83,124
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 505","Mobile poll/Bureau itinérant",23,2,1,7,10,24,4,71,161
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 506","Mobile poll/Bureau itinérant",22,6,3,23,9,54,6,123,164
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 600","Saint-Hugues",65,8,12,61,218,66,1,431,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 601","Saint-Théodore-d'Acton--Sainte-Hélène-de-Bagot",49,2,7,59,112,58,1,288,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 602","Acton Vale",84,5,17,106,241,113,17,583,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 603","Saint-Valérien-de-Milton--Roxton Falls",66,6,8,82,141,83,10,396,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 604","Acton Vale",102,7,18,131,251,121,21,651,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 605","Saint-Liboire--Upton",65,3,9,77,225,75,9,463,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 606","Saint-Simon",148,11,31,166,386,161,19,922,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 607","La Présentation",173,5,32,197,421,220,17,1065,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 608","Sainte-Madeleine--Saint-Damase",100,10,26,118,345,140,12,751,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 609","Saint-Hyacinthe",138,9,26,159,380,254,11,977,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 610","Saint-Hyacinthe",159,8,31,188,269,186,29,870,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 611","Saint-Hyacinthe",107,6,26,167,289,176,23,794,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 612","Saint-Hyacinthe",170,3,15,209,373,249,14,1033,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 613","Saint-Hyacinthe",124,3,29,227,403,150,25,961,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 614","Saint-Hyacinthe",73,3,15,144,245,121,21,622,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 615","Saint-Hyacinthe",111,2,20,156,305,201,21,816,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 616","Saint-Hyacinthe",231,6,17,222,353,205,25,1059,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 617","Saint-Hyacinthe",177,4,27,212,365,235,14,1034,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 618","Saint-Pie",63,0,21,58,123,47,6,318,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 619","Saint-Pie",97,11,29,117,280,158,17,709,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 620","Sainte-Madeleine--Saint-Damase",45,3,11,43,118,50,2,272,
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot",,Group 1/Groupe 1, 10,2,3,11,9,30,3,68,59
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot",,Group 2/Groupe 2, 116,8,48,211,279,252,31,945,
