Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Den Tandt,Daniel Little,Alex Ruff,Chris Stephen,Bill Townsend,Danielle Valiquette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 159","Chesley",38,2,82,34,3,10,1,170,382
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 160","Elmwood",42,2,106,27,9,8,0,194,459
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 161","Kimberley",59,2,46,15,3,20,0,145,298
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 162","Flesherton",31,0,89,25,7,24,1,177,389
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 163","Flesherton",37,1,106,23,2,25,0,194,525
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 164","Grey Highlands",41,1,98,21,2,19,0,182,397
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 165","Flesherton",56,1,108,33,8,33,2,241,590
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 166","Dobbinton",48,0,104,37,5,11,1,206,313
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 167","Paisley",81,1,94,48,10,18,0,252,432
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 168","Dobbinton",81,7,134,45,5,15,2,289,468
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 169","Traverston",69,2,110,16,7,24,0,228,525
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 170","Glenelg Centre",35,0,82,30,11,38,1,197,423
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 171","Louise",49,2,119,35,17,20,1,243,523
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 172","Hanover",44,0,82,30,7,13,0,176,401
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 173","Hanover",48,1,57,34,5,10,0,155,426
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 174","Hanover",50,0,60,20,2,13,1,146,457
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 175","Aberdeen",56,1,83,17,13,18,0,188,404
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 176","West Grey",41,2,76,14,12,14,0,159,379
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 177","Durham",45,1,89,22,9,11,1,178,422
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 178","Durham",62,2,94,24,12,16,4,214,515
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 179","Durham",24,0,52,17,5,12,0,110,321
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 180","Glenelg",44,0,91,21,10,12,2,180,463
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 181","Durham",32,0,74,22,17,9,2,156,374
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 182","Durham",51,1,102,22,10,8,1,195,449
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 183","Durham",18,0,56,17,2,6,1,100,262
