Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lesley Barron,Andrew Bascombe,Syl Carle,Michael Chong,Ralph Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 503","Mobile poll/Bureau itinérant",22,14,1,22,7,4,70,121
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 600","Centre Wellington",342,93,12,461,182,9,1099,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 601","Centre Wellington",236,78,12,444,127,0,897,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 602","Centre Wellington",234,96,21,520,146,1,1018,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 603","Centre Wellington",296,113,8,571,166,6,1160,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 604","Centre Wellington",190,80,32,523,130,8,963,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 605","Guelph--Eramosa",189,62,17,379,84,3,734,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 606","Puslinch",142,34,16,228,63,0,483,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 607","Puslinch",170,38,9,427,101,4,749,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 608","Guelph--Eramosa",323,70,14,370,150,0,927,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 609","Guelph--Eramosa",162,41,10,306,91,0,610,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 610","Erin",149,59,19,356,114,1,698,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 611","Erin",114,36,10,282,139,1,582,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 612","Erin",94,27,14,238,68,3,444,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 613","Halton Hills",175,83,11,318,99,5,691,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 614","Halton Hills",163,65,14,408,91,4,745,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 615","Halton Hills",293,49,20,495,129,3,989,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 616","Halton Hills",216,68,15,282,94,2,677,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 617","Halton Hills",251,74,13,403,102,1,844,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 618","Halton Hills",309,63,17,407,90,2,888,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 619","Halton Hills",280,68,19,302,54,2,725,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 620","Halton Hills",347,81,14,465,106,5,1018,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 621","Halton Hills",244,50,10,351,51,3,709,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 622","Halton Hills",95,32,10,175,31,1,344,
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 623","Halton Hills",115,31,11,231,23,0,411,
35113,"Wellington--Halton Hills/Wellington--Halton Hills",,Group 1/Groupe 1, 66,4,2,26,30,4,132,167
35113,"Wellington--Halton Hills/Wellington--Halton Hills",,Group 2/Groupe 2, 530,188,27,740,266,49,1800,
