Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Aubin,Louise Charbonneau,Marie Duplessis,Marc André Gingras,Yves Lévesque,Valérie Renaud-Martin,Ronald St-Onge Lynch,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24076,"Trois-Rivières/Trois-Rivières"," 513","Mobile poll/Bureau itinérant",2,15,1,3,18,30,1,7,77,123
24076,"Trois-Rivières/Trois-Rivières"," 514","Mobile poll/Bureau itinérant",9,36,1,1,70,78,0,17,212,280
24076,"Trois-Rivières/Trois-Rivières"," 515A","Mobile poll/Bureau itinérant",1,7,2,1,8,16,0,3,38,99
24076,"Trois-Rivières/Trois-Rivières"," 515B","Trois-Rivières",Merged with No./Fusionné avec le n°214,,,,,,,,,75
24076,"Trois-Rivières/Trois-Rivières"," 600","Trois-Rivières",197,352,22,5,375,366,3,17,1337,
24076,"Trois-Rivières/Trois-Rivières"," 601","Trois-Rivières",229,385,16,12,366,368,2,13,1391,
24076,"Trois-Rivières/Trois-Rivières"," 602","Trois-Rivières",206,377,20,15,398,364,5,22,1407,
24076,"Trois-Rivières/Trois-Rivières"," 603","Trois-Rivières",182,323,28,3,217,404,1,22,1180,
24076,"Trois-Rivières/Trois-Rivières"," 604","Trois-Rivières",274,435,29,13,358,451,5,74,1639,
24076,"Trois-Rivières/Trois-Rivières"," 605","Trois-Rivières",299,487,28,14,395,422,3,21,1669,
24076,"Trois-Rivières/Trois-Rivières"," 606","Trois-Rivières",190,378,21,11,283,282,4,14,1183,
24076,"Trois-Rivières/Trois-Rivières"," 607","Trois-Rivières",150,336,32,17,228,255,2,28,1048,
24076,"Trois-Rivières/Trois-Rivières"," 608","Trois-Rivières",183,340,17,21,240,246,3,36,1086,
24076,"Trois-Rivières/Trois-Rivières"," 609","Trois-Rivières",165,210,18,7,151,185,3,17,756,
24076,"Trois-Rivières/Trois-Rivières"," 610","Trois-Rivières",227,257,21,5,186,257,2,21,976,
24076,"Trois-Rivières/Trois-Rivières"," 611","Trois-Rivières",139,282,24,9,248,202,1,16,921,
24076,"Trois-Rivières/Trois-Rivières"," 612","Trois-Rivières",217,425,25,9,360,429,2,23,1490,
24076,"Trois-Rivières/Trois-Rivières"," 613","Trois-Rivières",185,325,32,12,367,315,0,12,1248,
24076,"Trois-Rivières/Trois-Rivières"," 614","Trois-Rivières",202,445,27,4,410,363,4,28,1483,
24076,"Trois-Rivières/Trois-Rivières"," 615","Trois-Rivières",151,384,21,12,398,286,5,15,1272,
24076,"Trois-Rivières/Trois-Rivières"," 616","Trois-Rivières",180,416,32,11,451,364,2,7,1463,
24076,"Trois-Rivières/Trois-Rivières",,Group 1/Groupe 1, 14,18,9,2,15,48,1,10,117,109
24076,"Trois-Rivières/Trois-Rivières",,Group 2/Groupe 2, 398,447,82,10,460,496,2,39,1934,
